File YT34to10__10400-10500: Chi2 = 2913.707704273037, p = 0.0, N = 105812803
File YT34to10__10500-10600: Chi2 = 2320.597206427656, p = 0.0, N = 98096160
File YT34to10__10600-10700: Chi2 = 1926.1414645098212, p = 0.0, N = 89250592
File YT34to10__10700-10800: Chi2 = 842.2850285843142, p = 1.578931531621485e-176, N = 80746261
File YT34to10__10800-10900: Chi2 = 705.1757669864667, p = 5.500208166879589e-147, N = 71850011
File YT34to10__10900-11000: Chi2 = 689.0651936847974, p = 1.6170412956514644e-143, N = 63609263
File YT34to10__11000-11100: Chi2 = 511.6008179429673, p = 2.2800774810930667e-105, N = 56595055
File YT34to10__11100-11200: Chi2 = 539.1116505829586, p = 2.8315860902495986e-111, N = 50561731
File YT34to10__11200-11300: Chi2 = 373.72342018945346, p = 7.76946361607527e-76, N = 45803978
File YT34to10__11300-11400: Chi2 = 62.135578233943825, p = 1.7732820545894026e-10, N = 42396202
File YT34to10__11400-11500: Chi2 = 44.94354884780907, p = 3.7717611045644807e-07, N = 39569085
File YT34to10__11500-11600: Chi2 = 65.97557004727267, p = 3.094231526820831e-11, N = 37584924
File YT34to10__11600-11700: Chi2 = 326.90466924091925, p = 7.648394271169953e-66, N = 35758387
File YT34to10__11700-11800: Chi2 = 476.3445733111207, p = 8.338622614398701e-98, N = 33822634
File YT34to10__11800-11900: Chi2 = 697.5441246806826, p = 2.4178683825360084e-145, N = 31956905
File YT34to10__11900-12000: Chi2 = 542.3162730727219, p = 5.805610951679778e-112, N = 29207080
